time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
347.003,30.975,30.95,6.012024048096191,6.021073758153536
350.117,31.0,31.0,6.003001500750375,6.003001500750375
353.2,30.825,31.025,6.066734074823052,5.994005994005993
356.229,30.875,30.875,6.048387096774192,6.048387096774192
359.288,30.825,30.4,6.066734074823052,6.227296315516346
362.435,30.5,30.725,6.188757091284166,6.10376398779247
365.591,30.775,30.8,6.085192697768762,6.075949367088606
368.713,30.6,30.55,6.150691952844692,6.169665809768636
371.803,30.625,30.875,6.1412487205731825,6.048387096774192
374.88,30.75,30.85,6.094464195022853,6.057546693589095
378.37,30.6,30.675,6.150691952844692,6.1224489795918355
381.859,30.575,30.65,6.160164271047227,6.131834440470105
385.008,30.65,30.4,6.131834440470105,6.227296315516346
388.184,30.375,30.55,6.237006237006236,6.169665809768636
391.27,30.225,30.5,6.295907660020984,6.188757091284166
394.302,30.425,30.55,6.217616580310879,6.169665809768636
397.338,30.225,30.35,6.295907660020984,6.246746486205099
400.381,30.475,30.45,6.198347107438014,6.207966890843248
403.525,30.3,30.225,6.266318537859006,6.295907660020984
406.678,30.325,30.375,6.256517205422314,6.237006237006236
409.827,30.35,30.35,6.246746486205099,6.246746486205099
412.963,30.175,30.025,6.315789473684208,6.376195536663124
416.094,30.175,30.2,6.315789473684208,6.30583289542827
419.245,30.1,30.0,6.345848757271284,6.386375731772217
422.303,30.15,30.2,6.32577754348972,6.30583289542827
425.371,29.925,29.975,6.41711229946524,6.396588486140723
428.526,30.125,30.125,6.335797254487855,6.335797254487855
431.652,29.775,30.05,6.4794816414686816,6.366047745358088
434.723,29.975,30.05,6.396588486140723,6.366047745358088
437.793,30.0,29.85,6.386375731772217,6.448146157979578
440.836,29.875,29.95,6.437768240343345,6.406833956219966
443.859,30.025,30.0,6.376195536663124,6.386375731772217
446.925,29.85,29.875,6.448146157979578,6.437768240343345
450.051,29.925,29.8,6.41711229946524,6.469002695417788
453.171,29.975,29.975,6.396588486140723,6.396588486140723
456.222,29.7,29.75,6.511123168746607,6.489994591671173
459.314,29.6,29.65,6.553795740032767,6.532389765922699
462.434,29.875,29.725,6.437768240343345,6.500541711809316
465.559,28.075,29.7,7.28155339805825,6.511123168746607
468.748,29.775,29.7,6.4794816414686816,6.511123168746607
471.9,29.675,29.45,6.521739130434781,6.618863761720903
474.977,29.55,29.6,6.575342465753423,6.553795740032767
478.101,29.575,29.65,6.564551422319473,6.532389765922699
481.24,29.6,29.525,6.553795740032767,6.586169045005487
484.309,29.5,29.5,6.597031335898843,6.597031335898843
487.387,29.6,29.55,6.553795740032767,6.575342465753423
490.5,29.4,29.325,6.640841173215272,6.674082313681867
493.594,29.575,29.475,6.564551422319473,6.6079295154185
496.729,29.425,29.375,6.629834254143644,6.651884700665187
499.911,29.4,29.375,6.640841173215272,6.651884700665187
503.067,29.45,29.375,6.618863761720903,6.651884700665187
506.23,29.35,29.4,6.662965019433646,6.640841173215272
509.388,29.325,29.375,6.674082313681867,6.651884700665187
512.53,29.35,29.475,6.662965019433646,6.6079295154185
515.661,29.35,29.4,6.662965019433646,6.640841173215272
518.837,29.375,29.325,6.651884700665187,6.674082313681867
522.778,29.4,29.25,6.640841173215272,6.707657909446617
526.696,29.225,29.2,6.718924972004477,6.730229949523275
529.825,29.15,29.175,6.75295441755768,6.741573033707863
532.882,29.275,29.225,6.69642857142857,6.718924972004477
535.92,29.05,29.0,6.798866855524078,6.822057987492892
538.978,29.1,29.0,6.7758328627893825,6.822057987492892
542.041,29.225,29.1,6.718924972004477,6.7758328627893825
545.118,29.125,29.1,6.764374295377675,6.7758328627893825
548.281,29.0,28.875,6.822057987492892,6.880733944954127
551.45,29.1,29.0,6.7758328627893825,6.822057987492892
554.51,29.2,29.075,6.730229949523275,6.7873303167420795
557.614,28.875,29.05,6.880733944954127,6.798866855524078
560.795,28.95,28.825,6.8454078722190514,6.9044879171461435
563.932,29.0,28.975,6.822057987492892,6.833712984054666
567.009,28.875,28.85,6.880733944954127,6.892590465249854
570.067,28.925,28.975,6.857142857142855,6.833712984054666
573.192,29.0,28.825,6.822057987492892,6.9044879171461435
576.328,29.075,28.95,6.7873303167420795,6.8454078722190514
579.435,28.8,28.925,6.916426512968298,6.857142857142855
582.5,28.925,28.7,6.857142857142855,6.964596633778292
585.515,28.925,28.875,6.857142857142855,6.880733944954127
588.587,28.7,28.65,6.964596633778292,6.9889341875364
591.672,28.8,28.7,6.916426512968298,6.964596633778292
594.787,28.825,28.6,6.9044879171461435,7.013442431326707
597.93,28.7,28.6,6.964596633778292,7.013442431326707
601.042,28.75,28.65,6.94042799305957,6.9889341875364
604.188,28.775,28.775,6.9284064665127,6.9284064665127
607.349,28.7,28.825,6.964596633778292,6.9044879171461435
610.436,28.625,28.775,7.001166861143522,6.9284064665127
613.472,28.775,28.65,6.9284064665127,6.9889341875364
616.539,28.725,28.75,6.952491309385861,6.94042799305957
619.695,28.65,28.675,6.9889341875364,6.97674418604651
622.892,28.625,28.575,7.001166861143522,7.025761124121778
626.034,28.4,28.325,7.1132187314759925,7.151370679380213
629.137,28.525,28.4,7.050528789659222,7.1132187314759925
632.194,28.55,28.575,7.0381231671554225,7.025761124121778
635.244,28.575,28.5,7.025761124121778,7.062978222483812
638.377,28.6,28.375,7.013442431326707,7.125890736342041
641.476,28.475,28.45,7.075471698113205,7.088009450679267
644.524,28.475,28.375,7.075471698113205,7.125890736342041
647.67,28.55,28.475,7.0381231671554225,7.075471698113205
650.837,28.65,28.25,6.9889341875364,7.1899340922708195
654.023,28.15,28.225,7.2420036210018095,7.202881152460981
657.151,28.5,28.225,7.062978222483812,7.202881152460981
660.21,28.4,28.225,7.1132187314759925,7.202881152460981
663.357,28.25,28.325,7.1899340922708195,7.151370679380213
666.541,28.275,28.425,7.177033492822966,7.100591715976329
669.633,28.35,28.225,7.138607971445565,7.202881152460981
672.696,28.175,28.275,7.2289156626506,7.177033492822966
675.847,28.3,28.3,7.16417910447761,7.16417910447761
678.948,28.35,28.15,7.138607971445565,7.2420036210018095
681.997,28.325,28.25,7.151370679380213,7.1899340922708195
