time_s,pwave_sw_us,pwave_aic_us,travel_aic_us,Vp_sw_km,Vp_aic_km
265.908,32.0,31.975,23.325000000000003,4.282655246252677,4.287245444801715
269.038,31.9,31.85,23.200000000000003,4.301075268817204,4.310344827586206
272.195,32.025,31.825,23.174999999999997,4.2780748663101615,4.314994606256743
275.382,31.7,31.65,23.0,4.338394793926249,4.347826086956522
278.498,31.575,31.725,23.075000000000003,4.362050163576883,4.333694474539545
281.569,31.95,31.9,23.25,4.291845493562232,4.301075268817204
284.688,31.875,31.825,23.174999999999997,4.3057050592034445,4.314994606256743
287.81,31.625,31.65,23.0,4.352557127312296,4.347826086956522
291.713,31.675,31.8,23.15,4.343105320304018,4.319654427645789
296.179,31.65,31.725,23.075000000000003,4.347826086956522,4.333694474539545
299.85,31.6,31.275,22.625,4.357298474945534,4.419889502762431
302.921,31.525,31.475,22.825000000000003,4.371584699453552,4.381161007667031
305.993,31.55,31.575,22.924999999999997,4.366812227074237,4.362050163576883
309.115,31.525,31.5,22.85,4.371584699453552,4.37636761487965
312.267,31.45,31.325,22.674999999999997,4.385964912280703,4.410143329658215
315.353,31.325,31.375,22.725,4.410143329658215,4.400440044004401
318.407,31.275,31.225,22.575000000000003,4.419889502762431,4.4296788482834994
321.914,31.075,31.0,22.35,4.459308807134895,4.47427293064877
325.427,31.05,31.15,22.5,4.464285714285714,4.4444444444444455
328.503,31.2,31.125,22.475,4.43458980044346,4.449388209121246
331.626,31.25,31.275,22.625,4.424778761061947,4.419889502762431
334.814,31.025,31.325,22.674999999999997,4.4692737430167595,4.410143329658215
337.908,30.925,30.925,22.275,4.489337822671158,4.489337822671158
340.931,30.95,30.9,22.25,4.4843049327354265,4.49438202247191
343.958,31.025,31.05,22.4,4.4692737430167595,4.464285714285714
347.003,30.975,30.95,22.299999999999997,4.479283314669653,4.4843049327354265
350.117,31.0,31.0,22.35,4.47427293064877,4.47427293064877
353.2,30.825,31.025,22.375,4.50958286358512,4.4692737430167595
356.229,30.875,30.875,22.225,4.499437570303712,4.499437570303712
359.288,30.825,30.4,21.75,4.50958286358512,4.597701149425287
362.435,30.5,30.725,22.075000000000003,4.576659038901602,4.530011325028313
365.591,30.775,30.8,22.15,4.519774011299435,4.5146726862302495
368.713,30.6,30.55,21.9,4.555808656036446,4.566210045662101
371.803,30.625,30.875,22.225,4.550625711035268,4.499437570303712
374.88,30.75,30.85,22.200000000000003,4.524886877828054,4.504504504504505
378.37,30.6,30.675,22.025,4.555808656036446,4.540295119182748
381.859,30.575,30.65,22.0,4.561003420752566,4.545454545454546
385.008,30.65,30.4,21.75,4.545454545454546,4.597701149425287
388.184,30.375,30.55,21.9,4.602991944764097,4.566210045662101
391.27,30.225,30.5,21.85,4.634994206257241,4.576659038901602
394.302,30.425,30.55,21.9,4.5924225028702645,4.566210045662101
397.338,30.225,30.35,21.700000000000003,4.634994206257241,4.608294930875576
400.381,30.475,30.45,21.799999999999997,4.581901489117984,4.587155963302754
403.525,30.3,30.225,21.575000000000003,4.618937644341802,4.634994206257241
406.678,30.325,30.375,21.725,4.613610149942331,4.602991944764097
409.827,30.35,30.35,21.700000000000003,4.608294930875576,4.608294930875576
412.963,30.175,30.025,21.375,4.64576074332172,4.678362573099417
416.094,30.175,30.2,21.549999999999997,4.64576074332172,4.640371229698377
419.245,30.1,30.0,21.35,4.662004662004661,4.683840749414521
422.303,30.15,30.2,21.549999999999997,4.651162790697676,4.640371229698377
425.371,29.925,29.975,21.325000000000003,4.700352526439484,4.6893317702227435
428.526,30.125,30.125,21.475,4.656577415599534,4.656577415599534
431.652,29.775,30.05,21.4,4.733727810650889,4.672897196261682
434.723,29.975,30.05,21.4,4.6893317702227435,4.672897196261682
437.793,30.0,29.85,21.200000000000003,4.683840749414521,4.716981132075472
440.836,29.875,29.95,21.299999999999997,4.7114252061248525,4.694835680751175
443.859,30.025,30.0,21.35,4.678362573099417,4.683840749414521
446.925,29.85,29.875,21.225,4.716981132075472,4.7114252061248525
450.051,29.925,29.8,21.15,4.700352526439484,4.728132387706856
453.171,29.975,29.975,21.325000000000003,4.6893317702227435,4.6893317702227435
456.222,29.7,29.75,21.1,4.75059382422803,4.739336492890995
459.314,29.6,29.65,21.0,4.77326968973747,4.761904761904763
462.434,29.875,29.725,21.075000000000003,4.7114252061248525,4.744958481613286
465.559,28.075,29.7,21.049999999999997,5.148005148005149,4.75059382422803
468.748,29.775,29.7,21.049999999999997,4.733727810650889,4.75059382422803
471.9,29.675,29.45,20.799999999999997,4.756242568370988,4.807692307692308
474.977,29.55,29.6,20.950000000000003,4.784688995215312,4.77326968973747
478.101,29.575,29.65,21.0,4.778972520908006,4.761904761904763
481.24,29.6,29.525,20.875,4.77326968973747,4.790419161676647
484.309,29.5,29.5,20.85,4.796163069544365,4.796163069544365
487.387,29.6,29.55,20.9,4.77326968973747,4.784688995215312
490.5,29.4,29.325,20.674999999999997,4.819277108433735,4.836759371221283
493.594,29.575,29.475,20.825000000000003,4.778972520908006,4.801920768307323
496.729,29.425,29.375,20.725,4.8134777376654645,4.825090470446321
499.911,29.4,29.375,20.725,4.819277108433735,4.825090470446321
503.067,29.45,29.375,20.725,4.807692307692308,4.825090470446321
506.23,29.35,29.4,20.75,4.8309178743961345,4.819277108433735
509.388,29.325,29.375,20.725,4.836759371221283,4.825090470446321
512.53,29.35,29.475,20.825000000000003,4.8309178743961345,4.801920768307323
515.661,29.35,29.4,20.75,4.8309178743961345,4.819277108433735
518.837,29.375,29.325,20.674999999999997,4.825090470446321,4.836759371221283
522.778,29.4,29.25,20.6,4.819277108433735,4.8543689320388355
526.696,29.225,29.2,20.549999999999997,4.860267314702309,4.8661800486618025
529.825,29.15,29.175,20.525,4.878048780487805,4.872107186358101
532.882,29.275,29.225,20.575000000000003,4.848484848484849,4.860267314702309
535.92,29.05,29.0,20.35,4.901960784313727,4.914004914004914
538.978,29.1,29.0,20.35,4.889975550122249,4.914004914004914
542.041,29.225,29.1,20.450000000000003,4.860267314702309,4.889975550122249
545.118,29.125,29.1,20.450000000000003,4.8840048840048835,4.889975550122249
548.281,29.0,28.875,20.225,4.914004914004914,4.944375772558715
551.45,29.1,29.0,20.35,4.889975550122249,4.914004914004914
554.51,29.2,29.075,20.424999999999997,4.8661800486618025,4.895960832313342
557.614,28.875,29.05,20.4,4.944375772558715,4.901960784313727
560.795,28.95,28.825,20.174999999999997,4.926108374384238,4.9566294919454785
563.932,29.0,28.975,20.325000000000003,4.914004914004914,4.920049200492004
567.009,28.875,28.85,20.200000000000003,4.944375772558715,4.95049504950495
570.067,28.925,28.975,20.325000000000003,4.932182490752159,4.920049200492004
573.192,29.0,28.825,20.174999999999997,4.914004914004914,4.9566294919454785
576.328,29.075,28.95,20.299999999999997,4.895960832313342,4.926108374384238
579.435,28.8,28.925,20.275,4.962779156327544,4.932182490752159
582.5,28.925,28.7,20.049999999999997,4.932182490752159,4.9875311720698265
585.515,28.925,28.875,20.225,4.932182490752159,4.944375772558715
588.587,28.7,28.65,20.0,4.9875311720698265,5.000000000000001
591.672,28.8,28.7,20.049999999999997,4.962779156327544,4.9875311720698265
594.787,28.825,28.6,19.950000000000003,4.9566294919454785,5.012531328320803
597.93,28.7,28.6,19.950000000000003,4.9875311720698265,5.012531328320803
601.042,28.75,28.65,20.0,4.975124378109452,5.000000000000001
604.188,28.775,28.775,20.125,4.968944099378883,4.968944099378883
607.349,28.7,28.825,20.174999999999997,4.9875311720698265,4.9566294919454785
610.436,28.625,28.775,20.125,5.006257822277847,4.968944099378883
613.472,28.775,28.65,20.0,4.968944099378883,5.000000000000001
616.539,28.725,28.75,20.1,4.9813200498132,4.975124378109452
619.695,28.65,28.675,20.025,5.000000000000001,4.9937578027465666
622.892,28.625,28.575,19.924999999999997,5.006257822277847,5.018820577164368
626.034,28.4,28.325,19.674999999999997,5.063291139240507,5.082592121982212
629.137,28.525,28.4,19.75,5.031446540880504,5.063291139240507
632.194,28.55,28.575,19.924999999999997,5.025125628140704,5.018820577164368
635.244,28.575,28.5,19.85,5.018820577164368,5.037783375314862
638.377,28.6,28.375,19.725,5.012531328320803,5.069708491761724
641.476,28.475,28.45,19.799999999999997,5.044136191677175,5.050505050505051
644.524,28.475,28.375,19.725,5.044136191677175,5.069708491761724
647.67,28.55,28.475,19.825000000000003,5.025125628140704,5.044136191677175
650.837,28.65,28.25,19.6,5.000000000000001,5.1020408163265305
654.023,28.15,28.225,19.575000000000003,5.128205128205129,5.108556832694763
657.151,28.5,28.225,19.575000000000003,5.037783375314862,5.108556832694763
660.21,28.4,28.225,19.575000000000003,5.063291139240507,5.108556832694763
663.357,28.25,28.325,19.674999999999997,5.1020408163265305,5.082592121982212
666.541,28.275,28.425,19.775,5.095541401273886,5.056890012642226
669.633,28.35,28.225,19.575000000000003,5.0761421319796955,5.108556832694763
672.696,28.175,28.275,19.625,5.1216389244558265,5.095541401273886
675.847,28.3,28.3,19.65,5.08905852417303,5.08905852417303
678.948,28.35,28.15,19.5,5.0761421319796955,5.128205128205129
681.997,28.325,28.25,19.6,5.082592121982212,5.1020408163265305
685.14,28.2,28.125,19.475,5.115089514066497,5.134788189987163
688.319,28.25,28.25,19.6,5.1020408163265305,5.1020408163265305
691.439,28.3,28.15,19.5,5.08905852417303,5.128205128205129
694.562,28.325,28.1,19.450000000000003,5.082592121982212,5.141388174807198
697.716,28.325,28.1,19.450000000000003,5.082592121982212,5.141388174807198
700.86,28.275,28.05,19.4,5.095541401273886,5.154639175257733
704.021,28.3,28.075,19.424999999999997,5.08905852417303,5.148005148005149
707.132,28.1,28.05,19.4,5.141388174807198,5.154639175257733
