C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           17.5659190   1     1    14     2        46  55 552.918E+00
  1           17.5659235   3     9    16     4       172  59 974.217E+00
  1           17.5659440   2     1     1     0         1  53   0.000E+00
  1           17.5659655   6     1     7     1        44  52 221.362E+00
  1           17.6627600   1     1    19     4       135  57   1.006E+03
  1           17.6627645   3     9    18     5       175  61   1.501E+03
  1           17.6627820   2     1     2     0         7  53  79.781E+00
  1           17.6627945   6    37    14     2        81  54 453.384E+00
  1           17.7585080   1     1    14     2        48  55 561.401E+00
  1           17.7585125   3     9    15     4       172  58 971.454E+00
  1           17.7585300   2     1     2     0         4  53  32.904E+00
  1           17.7585545   6     1     8     1        44  52 223.327E+00
  1           17.8542470   1    32    19     3       113  57 955.206E+00
  1           17.8542515   3     5    17     5       171  61   1.477E+03
  1           17.8542690   2     1     3     0         6  54  83.257E+00
  1           17.8542845   6    37    14     2        58  54 412.728E+00
  1           17.9501010   1    32    14     2        48  55 557.946E+00
  1           17.9501055   3     9    15     4       171  59 958.410E+00
  1           17.9501475   6    28     8     1        46  53 236.096E+00
  1           18.0459140   1    11    17     4       168  57   1.038E+03
  1           18.0459205   3    10    17     5       169  60   1.399E+03
  1           18.0459410   2     1     1     0         4  52  30.718E+00
  1           18.0459515   6     1    13     2       115  54 490.156E+00
  1           18.1420450   1    32    14     2        48  55 556.467E+00
  1           18.1420495   3     9    17     4       172  59 958.806E+00
  1           18.1420670   2     1     2     0         4  52  31.313E+00
  1           18.1420915   6     1     8     1        44  52 222.864E+00
  1           18.2377830   1    29    18     4       125  57 974.239E+00
  1           18.2377895   3     3    17     5       169  61   1.412E+03
  1           18.2378080   2     1     2     0         1  53   0.000E+00
  1           18.2378205   6    37    14     2        58  54 411.322E+00
  1           20.6248440   1    32    13     2        48  55 561.873E+00
  1           20.6248485   3     9    15     4       171  59 960.532E+00
  1           20.6248630   2     1     3     0         7  52  56.603E+00
  1           20.6248895   6    29     8     1        47  53 239.128E+00
  1           20.7206370   1    32    18     4       132  57   1.001E+03
  1           20.7206415   3     9    17     5       172  61   1.470E+03
  1           20.7206590   2     1     2     0         7  54  84.671E+00
  1           20.7206715   6    40    14     2       102  54 480.910E+00
  1           20.8166590   1    32    12     2        48  55 565.842E+00
  1           20.8166655   3     3    16     4       169  59 924.376E+00
  1           20.8166965   6     1     9     1        58  52 270.029E+00
  1           20.9124010   1    11    17     4       128  57 984.344E+00
  1           20.9124075   3     3    17     5       169  61   1.406E+03
  1           20.9124230   2     1     2     0         1  53   0.000E+00
  1           20.9124385   6    11    14     2       115  54 485.340E+00
  1           21.0082060   1    32    15     2        48  55 558.537E+00
  1           21.0082105   3     9    16     4       168  59 929.697E+00
  1           21.0082525   6    28     8     1        43  53 213.998E+00
  1           21.1040010   1     1    18     4       172  57   1.057E+03
  1           21.1040055   3     9    18     5       175  61   1.486E+03
  1           21.1040230   2     1     2     0        13  53 125.955E+00
  1           21.1040355   6     1    14     2       102  54 474.117E+00
  1           21.1998650   1    32    14     2        48  55 563.623E+00
  1           21.1998715   3     2    16     4       169  59 930.916E+00
  1           21.1998870   2     1     2     0         1  52   0.000E+00
  1           21.1999145   6    25     8     1        46  52 216.667E+00
  1           21.2959360   1    32    18     3       113  57 960.328E+00
  1           21.2959405   3     5    17     5       171  61   1.471E+03
  1           21.2959610   2     2     2     0         6  53  65.606E+00
  1           21.2959735   6    11    14     2        58  54 409.999E+00
  1           22.4301015   3     2     1     0         6  50  27.397E+00
  1           22.4301230   1     1     1     0         1  45   0.000E+00
  1           23.6918370   1    11    12     2        45  55 552.814E+00
  1           23.6918435   3     3    14     4       169  59 916.730E+00
  1           23.6918640   2     1     1     0         1  50   0.000E+00
