C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
Express-8 (r) Location Version 
Version V5.94

4/20/2026, 12:13:47

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           84.5350505   3     1     2     0         1  46   0.000E+00
  1           84.5350935   1     1     1     0         1  45   0.000E+00
  1           84.6307485   1     1     9     1        47  49 148.218E+00
  1           84.6307485   3     1     5     0        62  49  92.728E+00
  1           84.7264985   1     1     6     0         4  47   9.701E+00
  1           84.8222925   3     1     4     0         7  48  22.812E+00
  1           84.8222985   1     1     9     1        44  50 129.555E+00
  1           87.3300725   1     1     7     0         7  47  20.252E+00
  1           87.4260975   1     1     9     1        47  49 148.837E+00
  1           87.4260975   3     1     5     0        62  47  86.381E+00
  1           87.5222015   1     1     7     0         7  47  18.758E+00
  1           87.5222015   3     1     3     0         1  46   0.000E+00
  1           87.6179365   3     1     5     1        65  48  95.580E+00
  1           87.6179395   1     1     9     0        21  49  71.681E+00
  1           87.7137695   1     1     4     0         1  47   0.000E+00
  1           87.8094815   3     1     5     0        10  48  30.986E+00
  1           87.8094865   1     2     8     1        45  49 131.142E+00
  1           87.9053435   3     1     2     0         4  46   7.225E+00
  1           87.9053835   1     1     1     0         4  47   9.863E+00
  1           88.0011755   3     1     5     0        47  48  61.924E+00
  1           88.0011785   1     1     8     0        21  49  73.696E+00
  1           90.4929195   1     1     5     0         7  47  20.934E+00
  1           90.5890385   3     1     5     0         4  48  12.192E+00
  1           90.5890405   1     1     9     1        42  50 126.839E+00
  1           90.6858615   1     1     4     0         1  47   0.000E+00
  1           90.7819735   3     1     5     0        47  48  62.287E+00
  1           90.7819785   1     2     8     1        45  49 131.899E+00
  1           90.8777225   1     1     6     0         4  47  10.704E+00
  1           90.9734845   3     1     4     0        10  48  30.504E+00
  1           90.9734895   1     2     8     1        45  50 131.757E+00
  1           91.0692365   1     1     6     0         4  47   9.971E+00
  1           91.0692365   3     1     3     0         1  46   0.000E+00
  1           91.1650925   1     1     9     1        42  50 127.756E+00
  1           91.1650965   3     1     4     0         1  48   0.000E+00
  1           93.6622035   1     1     1     0         1  45   0.000E+00
  1           93.7579015   3     1     5     0        47  48  64.691E+00
  1           93.7579045   1     1     9     0        27  49  85.290E+00
  1           93.8547755   3     1     2     0         1  46   0.000E+00
  1           93.8548155   1     1     1     0         1  45   0.000E+00
  1           93.9506375   1     1     9     1        50  49 159.301E+00
  1           93.9506375   3     1     4     0        47  47  62.152E+00
  1           94.0464465   1     1     6     0         4  47  10.039E+00
  1           94.1425605   1     1     9     0        24  49  81.357E+00
  1           94.1425635   3     1     4     0        44  48  53.361E+00
  1           94.2383345   1     1     6     0         7  47  21.112E+00
  1           94.3348385   1     1     9     1        45  49 139.538E+00
  1           94.3348425   3     1     4     0         1  48   0.000E+00
  1           96.8709285   1     1     5     0         4  48  11.202E+00
  1           96.9669895   1     1     8     1        45  50 140.748E+00
  1           96.9669935   3     1     4     0         1  48   0.000E+00
  1           97.0627385   1     1     6     0         7  47  20.875E+00
  1           97.0627385   3     1     3     0        59  47  55.330E+00
  1           97.1584945   3     1     4     0         1  48   0.000E+00
  1           97.1584975   1     1     8     0        27  49  84.069E+00
  1           97.2542815   3     1     3     0         7  46  13.666E+00
  1           97.2543215   1     1     2     0         1  45   0.000E+00
  1           97.3501175   1     1     8     0        21  50  73.421E+00
  1           97.3501215   3     1     5     0        40  47  40.442E+00
  1           97.4460155   1     1     1     0         4  47   8.730E+00
  1           97.5420115   1     1    10     0        30  49  97.022E+00
  1           97.5420115   3     1     5     0        47  48  59.918E+00
  1          100.0258265   3     1     2     0         1  45   0.000E+00
  1          100.0258295   1     1     6     0        41  48  80.545E+00
  1          100.1226635   1     1     8     1        44  50 139.124E+00
  1          100.1226635   3     1     4     0         4  48  10.445E+00
  1          100.3146265   3     1     4     0        44  48  50.510E+00
  1          100.3146295   1     1     8     1        44  49 127.001E+00
  1          100.4103735   1     1     5     0         7  47  19.868E+00
  1          100.5061125   1     1     8     0        21  49  70.483E+00
  1          100.5061525   3     1     3     0         4  48  10.773E+00
  1          100.6018945   3     1     2     0         1  46   0.000E+00
  1          100.6977585   1     1     9     1        47  49 148.228E+00
  1          100.6977585   3     1     5     1        65  48  99.168E+00
  1          103.1757495   3     1     2     0         1  46   0.000E+00
