Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
45.7803325,3,13,18,5,175,60.0,1488.0
45.780334,2,16,4,0,23,56.0,230.584
45.7803625,6,1,13,2,84,53.0,429.6
45.876112,1,32,13,2,62,55.0,611.074
45.8761165,3,9,15,4,171,59.0,966.971
45.8761495,6,1,10,1,58,52.0,252.269
45.971964,1,32,20,4,137,57.0,1072.0
45.9719685,3,9,17,5,171,61.0,1468.0
45.971986,2,1,3,0,7,56.0,120.583
45.9719985,6,40,14,3,118,54.0,477.701
46.06782,1,9,13,3,132,55.0,672.042
46.0678215,3,13,15,4,172,59.0,959.037
46.067837,2,2,2,0,12,54.0,153.13
46.0678635,6,1,8,1,47,52.0,215.676
46.164668,1,32,19,4,137,57.0,1063.0
46.1646725,3,5,17,5,171,61.0,1473.0
46.164687,2,2,3,0,12,57.0,213.159
46.1647055,6,11,13,2,77,54.0,407.046
48.630476,1,9,13,3,132,55.0,672.638
48.6304805,3,10,14,4,169,59.0,900.023
48.6305195,6,1,8,1,47,51.0,216.231
48.726528,1,9,19,4,169,58.0,1076.0
48.7265325,3,10,17,5,169,60.0,1412.0
48.726545,2,2,4,0,9,57.0,210.528
48.7265595,6,1,14,2,84,53.0,423.533
48.822373,1,9,12,3,132,55.0,677.128
48.8223775,3,3,14,4,169,59.0,922.539
48.82239,2,1,4,0,12,55.0,148.853
48.8224085,6,1,10,1,55,51.0,243.785
48.918476,1,11,20,4,137,57.0,1084.0
48.9184825,3,3,17,5,169,61.0,1404.0
48.918495,2,5,4,0,15,56.0,256.965
48.9185135,6,1,13,2,77,54.0,408.022
49.014243,1,9,12,3,132,55.0,679.236
49.0142475,3,10,15,4,169,59.0,913.03
49.0142865,6,1,8,1,47,51.0,216.147
49.109945,1,9,18,4,132,57.0,1035.0
49.1099465,3,13,19,5,175,60.0,1471.0
49.109964,2,1,3,0,10,54.0,145.773
49.1099855,6,1,12,2,75,54.0,394.387
49.205753,1,29,14,2,62,55.0,616.885
49.2057575,3,9,14,4,171,59.0,949.024
49.205772,2,1,3,0,12,55.0,176.86
49.2057905,6,37,10,1,55,53.0,241.58
49.301592,1,1,19,4,135,57.0,1074.0
49.3015965,3,9,17,5,175,60.0,1476.0
49.301614,2,1,4,0,10,57.0,183.613
49.3016265,6,1,13,1,56,54.0,369.728
51.793388,1,32,15,3,113,55.0,661.357
51.7933925,3,9,15,4,171,59.0,944.246
51.79341,2,1,3,0,1,54.0,0.0
51.7934255,6,1,10,1,58,52.0,248.57
51.889433,1,32,19,4,137,57.0,1076.0
51.8894375,3,6,18,5,171,61.0,1464.0
51.889452,2,1,3,0,12,57.0,231.292
51.8894675,6,14,13,2,80,54.0,416.149
51.985298,1,32,14,2,48,55.0,588.996
51.9853025,3,9,15,3,94,58.0,890.538
51.98532,2,1,3,0,7,54.0,88.37
51.9853445,6,28,9,1,41,52.0,186.23
52.081342,1,11,19,4,137,57.0,1082.0
52.0813485,3,3,18,5,169,61.0,1410.0
52.081361,2,1,6,0,16,57.0,235.137
52.0813795,6,11,13,2,77,54.0,403.918
52.177096,1,9,13,3,132,55.0,677.82
52.1771005,3,3,15,4,169,58.0,917.442
52.177113,2,1,3,0,12,54.0,139.526
52.1771315,6,1,9,1,55,51.0,240.729
52.272833,1,11,20,4,137,57.0,1076.0
52.2728395,3,3,18,5,169,60.0,1391.0
52.272852,2,1,3,0,12,56.0,228.577
52.2728705,6,1,13,2,77,54.0,397.53
52.368662,1,32,13,3,132,55.0,693.424
52.3686665,3,9,15,3,94,59.0,885.969
52.368684,2,1,3,0,7,54.0,79.486
52.3686965,6,1,10,1,53,52.0,221.666
52.465327,1,9,18,4,132,57.0,1039.0
52.4653315,3,10,18,5,172,60.0,1373.0
52.465341,2,1,5,0,12,57.0,233.485
52.4653585,6,1,13,2,102,54.0,450.382
54.941529,1,1,13,3,132,56.0,680.797
54.9415335,3,10,15,4,162,59.0,896.119
54.941548,2,1,3,0,10,54.0,119.606
54.9415695,6,1,9,1,47,52.0,218.601
55.038357,1,11,19,4,137,57.0,1080.0
55.0383635,3,3,17,5,172,60.0,1400.0
55.038376,2,1,5,0,12,56.0,269.103
55.0383945,6,1,13,2,77,53.0,401.236
55.134433,1,9,13,3,132,56.0,679.891
55.1344375,3,10,15,3,140,59.0,876.041
55.1344765,6,1,8,1,47,51.0,212.101
55.230193,1,9,19,4,135,57.0,1046.0
55.2301975,3,3,17,5,172,60.0,1397.0
55.23021,2,2,4,0,12,57.0,241.644
55.2302245,6,1,14,2,84,53.0,421.299
55.325916,1,1,14,3,132,55.0,694.959
55.3259205,3,9,16,4,168,58.0,935.455
55.325938,2,1,2,0,4,54.0,52.693
55.3259625,6,1,8,1,41,52.0,182.685
55.421743,1,32,20,4,137,57.0,1085.0
55.4217475,3,9,18,5,171,61.0,1462.0
55.421762,2,1,4,0,10,57.0,222.077
55.4217775,6,1,13,2,61,54.0,393.679
55.517585,1,32,13,3,134,55.0,703.592
55.5175915,3,3,15,4,169,59.0,914.221
55.517604,2,1,3,0,12,55.0,163.644
55.5176225,6,1,9,1,55,52.0,238.959
55.613708,1,11,20,4,137,57.0,1086.0
55.6137145,3,3,18,5,172,60.0,1388.0
55.613727,2,2,4,1,64,57.0,385.409
55.6137455,6,1,13,2,80,53.0,404.86
58.020838,1,9,12,3,132,55.0,686.577
58.0208425,3,10,16,4,169,59.0,924.963
58.020852,2,1,4,0,15,55.0,195.935
58.0208735,6,1,9,1,55,51.0,239.758
58.117673,1,29,20,4,137,57.0,1089.0
58.1176775,3,9,19,5,222,61.0,1488.0
58.117692,2,1,6,0,16,57.0,269.072
58.1177075,6,40,12,2,61,54.0,391.343
58.213421,1,1,14,3,132,55.0,692.814
58.2134255,3,9,15,3,94,58.0,879.988
58.213443,2,1,3,0,7,54.0,89.162
58.2134555,6,1,10,1,56,52.0,239.076
58.30916,1,1,21,4,135,57.0,1080.0
58.3091645,3,9,19,5,168,60.0,1454.0
58.309182,2,1,5,0,13,55.0,211.218
58.3091945,6,40,13,2,118,54.0,461.515
58.404959,1,32,13,3,132,55.0,692.968
58.4049635,3,9,15,4,168,59.0,939.969
58.404981,2,1,3,0,7,54.0,98.626
58.4049935,6,40,10,1,55,52.0,235.86
58.500792,1,32,19,4,137,57.0,1080.0
58.5007965,3,9,17,5,171,61.0,1471.0
58.500811,2,1,5,0,10,57.0,205.914
58.5008265,6,14,14,2,80,54.0,407.046
58.596636,1,9,13,3,132,55.0,684.054
58.5966405,3,10,16,3,140,58.0,869.706
58.5966765,6,1,9,1,47,52.0,217.626
58.6927,1,12,18,4,135,57.0,1085.0
58.6927045,3,13,19,5,172,60.0,1457.0
58.692717,2,1,6,0,18,55.0,303.885
58.6927345,6,1,13,2,118,54.0,465.534
61.060962,1,9,14,3,132,56.0,682.846
61.0609665,3,10,16,3,88,58.0,822.159
61.060981,2,1,3,0,10,54.0,121.589
61.0610055,6,1,9,1,44,52.0,201.859
61.156678,1,11,19,4,137,57.0,1088.0
61.1566845,3,4,19,5,169,60.0,1395.0
61.156697,2,1,7,2,72,58.0,497.374
61.1567155,6,11,12,2,77,54.0,393.041
61.252429,1,32,13,3,132,55.0,699.94
61.2524335,3,9,17,4,168,58.0,928.838
61.252451,2,1,4,0,13,54.0,158.438
61.2524755,6,1,8,1,41,52.0,180.764
61.348197,1,9,17,4,132,57.0,1035.0
61.3482015,3,10,19,5,223,60.0,1417.0
61.348216,2,1,6,0,13,56.0,228.777
61.3482285,6,1,13,2,59,54.0,383.213
61.444062,1,32,13,2,62,55.0,622.268
61.4440665,3,9,16,4,171,58.0,952.09
61.444081,2,1,3,0,10,55.0,146.079
61.4440995,6,1,9,1,55,52.0,236.12
61.539918,1,9,19,4,135,57.0,1052.0
61.5399225,3,10,18,5,223,60.0,1435.0
61.539932,2,1,6,0,15,57.0,316.832
61.5399495,6,1,13,2,84,53.0,419.25
61.63596,1,11,12,3,134,55.0,705.907
61.6359665,3,10,15,4,223,58.0,939.927
61.635979,2,5,4,0,15,56.0,213.816
61.6360055,6,1,8,1,47,51.0,212.941
61.733638,1,11,18,4,137,57.0,1101.0
61.7336445,3,3,18,5,169,60.0,1404.0
61.733657,2,1,6,0,12,57.0,226.516
61.7336755,6,1,13,2,80,53.0,402.692
64.14969,1,32,14,2,62,55.0,622.007
64.1496945,3,9,15,4,168,59.0,942.26
64.1497275,6,37,9,1,55,52.0,236.968
64.246532,1,9,18,4,135,57.0,1053.0
64.2465365,3,3,20,5,223,60.0,1418.0
64.246549,2,2,4,0,15,58.0,317.947
64.2465635,6,1,13,2,84,53.0,417.319
64.342382,1,32,14,2,62,55.0,619.627
64.3423865,3,9,16,4,171,59.0,948.915
64.342404,2,1,3,0,7,56.0,89.942
64.3424195,6,1,9,1,55,52.0,239.365
64.438484,1,32,20,4,140,57.0,1105.0
64.4384885,3,9,18,5,171,61.0,1464.0
64.438503,2,1,5,0,12,57.0,259.749
64.4385185,6,1,13,2,61,54.0,388.699
64.534166,1,11,13,3,137,55.0,711.872
64.5341725,3,3,16,4,169,59.0,919.217
64.534185,2,1,4,0,12,55.0,179.995
64.5342035,6,1,9,1,55,51.0,239.189
64.629931,1,12,18,4,135,57.0,1082.0
64.6299355,3,13,19,5,168,60.0,1449.0
64.629953,2,1,5,0,13,56.0,249.655
64.6299655,6,1,13,2,118,54.0,461.571
64.726568,1,32,13,3,137,55.0,717.789
64.7265725,3,9,16,3,97,59.0,884.899
